phone,Operating System,"Physical Size ""

phys size ""","Physical Size cm

phys size cm","Width px

w px","Height px

h px",Device Width,Px Per Inch,Px Density,Aspect Ratio,Popularity,Vendor,detail view,type
Apple iPhone XR,iOS,6.1,15.5,828,1792,828,326,100% MDPI,19 . 5 : 9,100,Vendor object,0,Phone
Apple iPhone 8 Plus,iOS,5.5,13.9,1080,1920,1080,401,100% MDPI,16 : 9,100,Vendor object,0,Phone
Apple iPhone 7 Plus,iOS,5.5,14,1080,1920,1080,401,100% MDPI,9 : 16,100,Vendor object,0,Phone
Apple iPhone SE,iOS,4,10,640,1136,640,326,100% MDPI,16 : 9,55,Vendor object,0,Phone
Apple iPhone XS,iOS,5.8,14.7,1125,2436,1125,458,100% MDPI,19 . 5 : 9,55,Vendor object,0,Phone
Apple iPhone XS Max,iOS,6.5,16.5,1242,2688,1242,458,100% MDPI,19 . 5 : 9,55,Vendor object,0,Phone
Apple iPhone 6 Plus,iOS,5.5,14,1080,1920,1080,401,100% MDPI,9 : 16,24,Vendor object,0,Phone
Samsung Galaxy S,Android,4,10,480,800,320,233,150% HDPI,3 : 5,24,Vendor object,0,Phone
Samsung Galaxy S8+,Android,6.2,15.7,2960,1440,2960,529,100% MDPI,5 : 9,16,Vendor object,0,Phone
"Apple iPhone 5 (5c, 5s)",iOS,4,10,640,1136,320,326,200% XHDPI,40 : 71,13,Vendor object,0,Phone
"Apple iPhone 4 (4, 4S)",iOS,3.5,8.9,640,960,320,326,200% XHDPI,2 : 3,7,Vendor object,0,Phone
Google Pixel,Android,5,12.7,1080,1920,1080,441,100% MDPI,16 : 9,7,Vendor object,0,Phone
Samsung Galaxy S6,Android,5.1,13,1440,2560,1440,577,100% MDPI,9 : 16,4,Vendor object,0,Phone
Samsung A5,Android,5,12.7,720,1280,720,294,100% MDPI,9 : 16,4,Vendor object,0,Phone
Samsung Galaxy J7,Android,5.5,14,720,1280,720,267,100% MDPI,9 : 16,4,Vendor object,0,Phone
Oppo A37,Android,5,12,1920,1080,1920,294,100% MDPI,16 : 9,3,Vendor object,0,Phone
Samsung Galaxy S5,Android,5.1,13,1080,1920,1080,432,100% MDPI,9 : 16,2,Vendor object,0,Phone
"Nokia Lumia (710, 800)",Windows,3.7,9.4,480,800,320,252,150% HDPI,3 : 5,1,Vendor object,0,Phone
Sony Xperia Z3,Android,5.2,13.2,1080,1920,1080,424,100% MDPI,9 : 16,1,Vendor object,0,Phone
Sony Xperia Z5,Android,5.2,13.2,1080,1920,1080,424,100% MDPI,9 : 16,1,Vendor object,0,Phone
Apple iPhone 3GS,iOS,3.5,8.9,320,480,320,163,100% MDPI,2 : 3,1,Vendor object,0,Phone
LG G3,Android,5.5,12.7,1440,2560,1440,538,100% MDPI,9 : 16,1,Vendor object,0,Phone
Huawei P8,Android,5.2,13.2,1080,1920,1080,424,100% MDPI,9 : 16,1,Vendor object,0,Phone
Samsung Galaxy S6 Edge+,Android,5.7,14.5,1440,2560,1440,518,100% MDPI,9 : 16,1,Vendor object,0,Phone
Oppo F1,Android,5,12,1280,720,1280,294,100% MDPI,16 : 9,1,Vendor object,0,Phone
LG G4,Android,5.5,14,1440,2560,1440,538,100% MDPI,9 : 16,1,Vendor object,0,Phone
HTC Evo,Android,4.3,11,480,800,320,217,150% HDPI,3 : 5,0,Vendor object,0,Phone
HTC One,Android,4.7,12,1080,1920,360,468,300% XXHDPI,9 : 16,0,Vendor object,0,Phone
HTC One M9,Android,5,12.7,1080,1920,1080,441,100% MDPI,9 : 16,0,Vendor object,0,Phone
HTC One M8,Android,5,12.7,1080,1920,1080,441,100% MDPI,9 : 16,0,Vendor object,0,Phone
LG Nexus 4,Android,4.7,12,768,1280,384,320,200% XHDPI,3 : 5,0,Vendor object,0,Phone
LG Nexus 5X,Android,5.2,13.2,1080,1920,1080,424,100% MDPI,9 : 16,0,Vendor object,0,Phone
LG V10,Android,5.7,14.5,1440,2560,1440,515,100% MDPI,9 : 16,0,Vendor object,0,Phone
LG Nexus 4 AR,Android,4.7,11.9,768,1280,768,318,100% MDPI,9 : 16,0,Vendor object,0,Phone
LG Phoenix 2,Android,2.5,11.1,720,1280,720,294,100% MDPI,16 : 9,0,Vendor object,0,Phone
LG GX F310L,Android,5.5,14,1080,1920,1080,401,100% MDPI,16 : 9,0,Vendor object,0,Phone
Motorola Droid,Android,3.7,9.4,480,854,320,265,150% HDPI,9 : 16,0,Vendor object,0,Phone
Motorola Droid 3 & 4,Android,4,10,540,960,360,280,150% HDPI,9 : 16,0,Vendor object,0,Phone
Motorola Droid Razr,Android,4.3,11,540,960,360,256,150% HDPI,9 : 16,0,Vendor object,0,Phone
Motorola Droid Razr Maxx,Android,4.3,11,540,960,360,256,150% HDPI,9 : 16,0,Vendor object,0,Phone
Motorola Moto X Style,Android,5.7,14.5,1440,2560,1440,520,100% MDPI,9 : 16,0,Vendor object,0,Phone
Motorola Nexus 6,Android,6,15.2,1440,2560,1440,493,100% MDPI,9 : 16,0,Vendor object,0,Phone
Motorola Droid Turbo,Android,5.2,13.2,1440,2560,1440,565,100% MDPI,9 : 16,0,Vendor object,0,Phone
Motorola Moto G,Android,5,12.7,720,1280,720,294,100% MDPI,9 : 16,0,Vendor object,0,Phone
Motorola Moto E,Android,4.3,10.9,540,960,540,256,100% MDPI,9 : 16,0,Vendor object,0,Phone
OnePlus X,Android,5,12.7,1080,1920,1080,441,100% MDPI,9 : 16,0,Vendor object,0,Phone
